FilmID,Title,Release Date,DirectorID,Lead Actor/Actress,LanguageID,Industry,GenreID,Budget in Crores,First Day Collection Worldwide  in Crores,Worldwide Collection  in Crores,Overseas Collection in Crores,India Gross Collection in Crores,Verdict,IMDb Rating,Runtime (mins),OTT Platform
246,Kahaani 2,02-12-2016,289,Vidya Balan,501,Bollywood,689,20.00,4.30,55.90,11.30,44.60,Average,6.5,127,ZEE5
247,Oppam,08-09-2016,290,Mohanlal,509,Mollywood,607,7.00,1.50,52.00,13.70,38.30,Blockbuster,7.3,143,Amazon Prime Video
248,Azhar,13-05-2016,291,Emraan Hashmi,501,Bollywood,682,35.00,6.40,50.10,5.40,44.70,Flop,5.7,130,Amazon Prime Video
249,Happy Bhag Jayegi,24-08-2018,292,Diana Penty,501,Bollywood,630,20.00,2.30,46.50,6.50,40.00,Hit,6.4,126,ZEE5
250,Pichaikkaran,04-03-2016,293,Vijay Antony,503,Kollywood,627,10.00,1.80,43.00,10.00,33.00,Blockbuster,7.6,130,Amazon Prime Video
251,Jacobinte Swargarajyam,06-05-2016,294,Nivin Pauly,509,Mollywood,690,4.00,1.30,39.30,15.30,24.00,Blockbuster,7.6,145,Amazon Prime Video
252,Kattappanayile Rithwik Roshan,18-11-2016,267,Siddique,509,Mollywood,608,3.00,1.10,37.10,13.30,23.80,Blockbuster,7.1,140,Sun NXT
253,Action Hero Biju,04-02-2016,295,Nivin Pauly,509,Mollywood,691,3.00,1.60,31.20,13.30,17.90,Blockbuster,7.6,144,Sun NXT
254,Aranmanai 2,29-01-2016,186,Siddharth,503,Kollywood,628,15.00,2.80,31.00,10.50,20.50,Average,4.5,136,Amazon Prime Video
255,Pushpa: The Rise - Part 1,17-12-2021,128,Allu Arjun,505,Tollywood,621,150.00,63.70,350.10,36.30,313.80,Super Hit,7.6,179,Amazon Prime Video
